date/time,comment_id,fullname,text,likes,replyComment count
2019-12-07T03:10:21Z,UgzCe_JI-8vO8vL3tPp4AaABAg,Dinea Eris,thought you’d be there through thick and thin?☹️💔,4,0
2018-09-26T11:22:04Z,UgwlVonamyPi8QOxEBh4AaABAg,Nemo Nemo,I could see my whole life with you baby 😭,82,1
2019-02-11T10:46:15Z,UgxXuSJ9PekeCx73cHx4AaABAg,Angel Laser,'is this the end thought you'd be there thru thick and thin' ma favorite line,0,0
2018-09-15T13:41:26Z,UgxkSEOTnZxHyzzxkgR4AaABAg,Apple Faith,this band makes me feel broken even if I have no relationship. I LOVE LANY SO MUCH,0,0
2018-09-12T07:15:24Z,UgzBSoJMRM7yTjEhoix4AaABAg,smlbea,i dont even have an ex but the lyrics hurt me so much HAHSHAH,174,3
2020-11-03T04:58:58Z,Ugz0cFkvSv2y-tHf9yt4AaABAg,Jomarie Aquino,"SOLID LANY! 🎹🌹
#SOLIDPAULKLEINFOREVER 🎹🌹💯",1,0
2018-09-15T05:04:01Z,UgxylreDle-7ljZHP5F4AaABAg,Monette Digma,On the brighter side his heartache gave us beautiful musics 💛 im so proud of them!!,0,0
2019-01-27T17:04:29Z,UgycZqhIhBreolvqNCF4AaABAg,Egleydson Rodrigues,BRASIL!!! 💚💙💛,0,0
2018-10-14T23:15:56Z,UgwHlKtUABxNibY4icN4AaABAg,RayVan Maducdoc,Imagine ur going to lany's concert with da one who hurts u.💔,0,0
2019-04-10T14:58:24Z,UgzHGvSd-pYLBPLu-3Z4AaABAg,Mathilde Smagghe,me screaming in the shower : CAUSE YOU'RE OUT THE DOOR !!! JUST ONE MISTAKE YOU SAY YOU'RE NOT IN LOVE NO MORE,12,1
2021-03-25T09:26:09Z,UgxS94Ax4p4MPCfgvcB4AaABAg,Beth Pelarin,love it!,1,0
2019-06-17T07:41:22Z,UgwMhXR5-QzoYBwKVPB4AaABAg,ethereallee,i came here bc of mark and now i'm in love w this song <3,30,1
2021-01-27T00:07:14Z,UgzYvhqDaBNyRf7nxe14AaABAg,kimmie taehyung,the best💙,0,0
2018-09-12T04:08:59Z,UgxJg-mE0u4Jx-MQLlF4AaABAg,Aaron Santos,"IDWLYA, TTT, AND TAT THE HOLY TRINITY",23,0
2018-09-15T02:28:15Z,UgwanK75u4HEPI1PkxV4AaABAg,Bea Gaskarth,it's scary how this is exactly my situation rn lol,0,0
2018-10-22T08:16:50Z,UgzBoH2kMjgHiXq88N14AaABAg,Mikki Babasa,Victoria’s secret fashion show vibe,3,0
2021-03-19T01:58:30Z,UgyA9tuUguT_smTY5NF4AaABAg,Gina Asuncion,"It's been 2 years milove, I still miss you babalik ka pa kaya? I miss you so much my love:>",1,0
2020-04-12T08:56:41Z,UgzGLJUfpRvGc9pvJgV4AaABAg,Anne Liz,and now my hear is breaking with this song. Love u Paul Klein!,0,0
2018-09-12T04:25:03Z,UgyLyEEBSsbAoW_qQER4AaABAg,everlasting youniverse,LANY really makes the best and relatable music!!! Keep doing the great job and I'm sure yall hit the very spotlight. 💕,59,1
2018-09-26T04:44:22Z,UgwMfYs3evZzIlV4KaN4AaABAg,Eunice Navarro,Beautiful and painful!!!!!!! Pinoys where you at???!!,3,0
2018-09-19T20:35:48Z,UgwgTMFmXGSS_D7kmnt4AaABAg,Shhhnbjlkvg Himvbjj,"Late night
Your eyes fell to the floor
I'm trying to make sense
But you're losing your patience
Hands talk, won't stop
We go to war
In the heat of the moment
You think that we're broken

I could see my whole life with you baby
Now you got me thinking that I'm crazy
Cause you're...

Out the door
Just one mistake
You say you're not in love no more
But was it really love
If you can leave me for
Something so innocent
Is this the end?
Thought you'd be there through thick and thin

Can't sleep, can't eat
My mind's a mess
What are you thinking?
You were happy last weekend
All the good times
How'd you forget?
I was your best friend, yeah
Remember when you said

You could see your whole life with me baby
Now you got me thinking that I'm crazy
Cause you're...

Out the door
Just one mistake
You say you're not in love no more
But was it really love
If you can leave me for
Something so innocent
Is this the end?
Thought you'd be there through thick and thin
Thought you'd be there through thick and thin
Thought you'd be there through thick and thin
Thought you'd be there through thick and thin

Said you'd be there for me through everything
Said that you'd have my back with anything
Said you'd be there for me through everything
Said that you'd have my back with anything

Now you're out the door
Just one mistake
You say you're not in love no more
But was it really love
If you can leave me for
Something so innocent
Is this the end?
Thought you'd be there through thick and thin
Out the door
Just one mistake
You say you're not in love no more
But was it really love
If you can leave me for
Something so innocent
Is this the end?
Thought you'd be there through thick and thin

Said you'd be there for me through everything
Said that you'd have my back with anything
Said you'd be there for me through everything
Said that you'd have my back with anything",157,3
2018-10-08T18:36:23Z,UgzbShGRlY41DHoAXNt4AaABAg,Dimee Arafeh,This is perfect ! He’s voice is so warm😍,0,0
2018-10-24T20:06:40Z,UgyiaghhVJYPlltLEn94AaABAg,New Music,October favorite song 😍💙,0,0
2018-09-12T04:46:00Z,UgxJGbcJwQ2wEMR7yGV4AaABAg,Dylan Fallon,October 5 feels so far,71,4
2021-06-02T11:56:35Z,UgwW0Xa87gbej-4QAcl4AaABAg,Leo Credo,Chillin' like a baby. 🤸,0,0
2021-04-29T17:17:22Z,UgyvgKr-5RAHpSSsRHh4AaABAg,Melo phile,Background make me feel so calm 🍁🎶,0,0
2018-11-07T19:39:44Z,UgwurkKXwVKncqgHur54AaABAg,Grace Rutherford,this is such a great song i love it sooooo much and listen to it practically every day!!!,0,0
2018-10-29T04:36:30Z,UgzVSD1uWojcEpPI_OB4AaABAg,Jaelah Mujar,LANY !!! 💓 This got me . Lovin' all the songs 🤩,0,0
2020-01-07T20:06:25Z,UgwWemVpBKZb-BFXEoJ4AaABAg,Shardae Gibson,"This is literally the FIRST time I have never had to use the ""skip"" button when listening to an album. Thanks LANY! Its possible! <3 <3",0,0
2018-09-16T08:18:29Z,UgwvHuXy9_BS1474m5J4AaABAg,Anonymous Ppl,I thought you'd be there through thick and thin? 👏👏,3,1
2018-09-15T03:05:29Z,UgwXiYfplWs-ZPWd4GV4AaABAg,Jerly Ann Bajao,"“All the good times, How’d you forget?” 💔",1,0
2018-09-15T01:02:38Z,UgwIzZggvdM33LLJYL94AaABAg,Fherii,"'You were happy last weekend.' Once I've heard this from my partner, and I'm like can't I get lonely when being ignored? And from there on, I'm trying to not be overly sensitive.",0,0
2018-09-12T04:46:33Z,UgyLjjK-blFn6sM6b4t4AaABAg,Holalulupaoveve,So much love from Philippines,57,2
2018-09-23T20:41:07Z,UgyH8OchfG2xCrKX2BB4AaABAg,Jeanna Marie,Where was this album when I was heartbroken.,0,0
2018-10-22T15:42:25Z,UgzZk9KUdmkg_DAodrh4AaABAg,Apple Basillote,all the good times how'd you forget😭,0,0
2018-10-01T09:48:31Z,UgwQDJNZcllvPGUcDcZ4AaABAg,jerrri,They're starting to sound like Owl City,0,0
