date/time,comment_id,fullname,text,likes,replyComment count
2021-06-04T05:16:29Z,Ugx_2Hv-jvafztk2DN94AaABAg,Sukhraj Gill,Super,0,1
2021-05-16T11:07:27Z,UgzrCWt5vR9N3p6whZ54AaABAg,Gurpreet Gujjar,Sidhu army 10 million soon🔥🔥,43,2
2021-06-04T12:30:28Z,UgwUrww46zSyLV1oL8N4AaABAg,Kulwant Singh,Very very Nice bro👍🏻👍🏻,0,0
2021-06-02T13:20:36Z,UgxHSGhFd_KWPFJSsMJ4AaABAg,Vinod Kumar,Good bhai,2,1
2021-06-04T22:50:56Z,UgymWFUrg3522caLF3h4AaABAg,RG: Romeo Songs 100x,Wah sidhu wah Tabahi aly bol likhda,1,0
2021-06-05T05:21:33Z,Ugw94xDAlGTePjNVPdx4AaABAg,FK NOOBRA,Sb di paad ke rakh di op bro 😈😈😈😈,2,0
2021-05-15T08:44:10Z,UgzxI23DCLjD1oJfb514AaABAg,M Thind Records,ਬਾਈ ਸੱਚੀ ਸੋਹ ਖਾਉ ਕਿਸ ਨੇ ਕਿੰਨੀ ਵਾਰ ਸੁਣ ਲਿਆ ਗੀਤ ਮੈਂ 23 ਵਾਰ ਸੁਣ ਰਿਹਾ🔥🔥,46,12
2021-06-04T10:20:41Z,Ugz6S7JueKO3yBwYK4h4AaABAg,Shomi Shaloom,6 on trending 🤤,0,0
2021-06-02T08:23:09Z,UgwikhP1zgmrhUX7xnR4AaABAg,Ibrahim Rajpoot22,Disclaimber this Song is addicted,2,1
2021-06-02T22:37:21Z,UgwvAI9xzKAJHpwFMNF4AaABAg,shubham sharma,feel lati puriiii,0,0
2021-06-06T00:47:16Z,UgyNOH8NxCNEP4arrv54AaABAg,Diljeet Singh,Pta ni kon a jisne dislike kiya h😒😒,1,0
2021-05-15T13:31:54Z,UgzKodWjiND7nuXorbN4AaABAg,HRV Records,I'm listening this on repeat 🚩,117,12
2021-06-06T06:22:33Z,UgxYjeAG0vA8ltkqop14AaABAg,LEGENDRY GAMER,Top bhai nice lriys,0,0
2021-06-03T16:53:29Z,Ugxq-pKf5xSQBvoOhj14AaABAg,asif muhammad,sidhu moose wala the best song ever bra,0,0
2021-06-02T07:52:27Z,UgwWl6g0Kjb3Y-EQjr54AaABAg,BGP punjabi,"sidhu bhai 
tanu is song di v video bnani chahdi c",0,0
2021-06-02T16:03:27Z,UgzDOowir5LildAlt3d4AaABAg,king Khan,Sidhu ❤❤❤,0,0
2021-05-16T01:37:08Z,UgwrFICerFqk3N7A63l4AaABAg,TRACTOR FANS,6.5 M VIEWS 18 HOUSE 👌👌👌👌👌👌👌👌👌👌,2036,72
2021-06-03T12:07:09Z,UgyzyjYsy6tEEiAzMyV4AaABAg,Baljit Mahla,Nice bro song,0,0
2021-06-03T18:45:45Z,UgwPLS05m6po4J4tuAR4AaABAg,Pankaj Lalotra,1 billion views chahiye,0,0
2021-06-04T13:34:06Z,Ugyorzzdb0iTbzgW5aV4AaABAg,Horeb Edward,Still trending 6 in pakistan,1,0
2021-06-04T11:34:23Z,Ugz6v-12iZcpwyJHk714AaABAg,rajni arora,nice,1,0
2021-05-15T14:22:07Z,Ugxpmgq9xmPpYY1e0LV4AaABAg,Guri Dhaliwal,"ਹਾਲੇ ਤਾਂ ਐਲਬੰਬ ਪਾਈ ਆ , ਇੱਕ ਨਾਲ ਹੀ ਦੰਦਲ ਪੈ ਗਈ।।। love you jatta 👍. # Raikot",68,7
2021-06-03T14:05:20Z,UgxlKYwyocw1BgMvgAd4AaABAg,Saab 786,Kya baat e,0,0
2021-06-06T08:00:34Z,UgzN2EKmh3MPp2Vtmcx4AaABAg,Tashu Dadra,sidhu paji galat a aa gana tuhda,1,0
2021-06-03T15:10:36Z,Ugw3Yuo_u7tN9DoFdSp4AaABAg,Guri Rai,Dab ke rekh bai full spot he aapni,0,0
2021-06-02T17:28:41Z,UgwjMOM9SkUbnAn5mNJ4AaABAg,Global Trade Fairs,love from pakistan,0,0
2021-05-15T10:07:50Z,UgydOrzYpmvqAatTr8J4AaABAg,U.V 65,❤️❤️🔥🔥 carry jatta,33,0
2021-06-02T20:37:57Z,UgzkVzA3RDn6LKzTy1F4AaABAg,Ehtysham Aslam,Love from Pakistan,0,0
2021-06-03T05:17:09Z,Ugw3ZWFyCmlUCduGjT14AaABAg,Jaspreet singh soni,Att hi laati aa hi gaya,1,0
2021-06-05T14:16:30Z,UgxNxtCGLifXIWXWrO54AaABAg,Manish Kumar,Sidhu💯👍❤,2,0
2021-06-03T15:59:15Z,UgxMp4s4BZHkJD2WcLh4AaABAg,Balkar Singh,Sirra laya pya,0,0
